"Components of Population Growth for Custom Region - Benin"
Country,Year,"Births per 1,000 population","Deaths per 1,000 population","Net Number of Migrants per 1,000 population","Rate of natural increase (percent)","Growth rate (percent)",Population,Births,Deaths,"Net Number of Migrants","Natural Increase","Population Change"
Benin,1995,46.5,14.7,-8.0,3.18,2.39,5720531,266062,83920,-45478,182142,136663
Benin,1996,46.0,14.4,-2.8,3.17,2.89,5873704,270425,84288,-16505,186138,169633
Benin,1997,46.1,14.1,-0.2,3.20,3.18,6054757,278822,85069,-1332,193752,192420
Benin,1998,46.0,13.8,0.3,3.22,3.26,6252794,287816,86226,2063,201590,203654
Benin,1999,45.9,13.5,0.5,3.24,3.29,6460886,296748,87416,3166,209333,212499
Benin,2000,45.7,13.3,0.5,3.24,3.29,6677134,305279,88672,3339,216606,219945
Benin,2001,45.5,12.9,0.5,3.26,3.32,6901575,314229,89030,3727,225198,228925
Benin,2002,44.1,12.5,0.5,3.16,3.21,7130417,314309,89130,3565,225179,228744
Benin,2003,42.7,12.1,0.6,3.06,3.12,7359670,314258,88758,4269,225500,229769
Benin,2004,41.4,11.6,0.6,2.97,3.03,7589367,313820,88340,4174,225480,229654
Benin,2005,41.6,11.3,3.9,3.03,3.42,7838059,325750,88492,30490,237258,267748
Benin,2006,41.8,11.0,-1.9,3.07,2.89,8088622,337781,89298,-15126,248482,233357
Benin,2007,42.0,10.8,0.0,3.12,3.12,8335294,349832,90188,250,259644,259894
Benin,2008,42.2,10.6,0.4,3.16,3.19,8602647,362774,91188,3183,271586,274769
Benin,2009,42.4,10.4,0.5,3.20,3.24,8884101,376242,92395,4264,283847,288111
Benin,2010,42.6,10.2,0.4,3.24,3.28,9178580,390549,93622,3947,296927,300874
Benin,2011,42.7,10.1,0.5,3.27,3.31,9485969,405241,95524,4269,309717,313986
Benin,2012,42.9,9.9,0.1,3.29,3.31,9805000,420340,97462,1275,322879,324153
Benin,2013,43.0,9.8,-0.1,3.32,3.31,10134821,435899,99423,-912,336476,335564
Benin,2014,43.1,9.7,0.4,3.35,3.38,10479670,452093,101548,3668,350545,354213
Benin,2015,43.3,9.5,0.3,3.38,3.41,10841707,469337,102779,3361,366558,369919
Benin,2016,43.4,9.3,0.3,3.41,3.45,11220072,487063,104010,3815,383053,386868
Benin,2017,43.1,9.1,0.3,3.40,3.44,11612983,500520,105214,3716,395306,399022
Benin,2018,42.8,8.8,0.3,3.39,3.42,12017978,513889,106239,3365,407650,411015
Benin,2019,42.4,8.6,0.3,3.38,3.40,12435073,527123,107315,3357,419808,423166
