"Fertility Rates for Custom Region - Benin"
Country,Year,"ASFR 15-19","ASFR 20-24","ASFR 25-29","ASFR 30-34","ASFR 35-39","ASFR 40-44","ASFR 45-49","Total fertility rate per woman","Gross Reproduction Rate Per Woman","Sex Ratio at Birth (Males per Female)"
Benin,1970,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Benin,1971,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Benin,1972,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Benin,1973,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Benin,1974,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Benin,1975,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Benin,1976,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Benin,1977,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Benin,1978,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
Benin,1979,155.80,325.60,342.00,290.00,203.10,105.20,51.30,7.37,3.59,1.05
Benin,1980,153.60,322.20,338.90,289.00,204.20,106.50,49.60,7.32,3.57,1.05
Benin,1981,151.40,318.80,335.90,288.00,205.20,107.70,47.90,7.28,3.55,1.05
Benin,1982,149.20,315.50,332.80,287.00,206.30,108.90,46.20,7.23,3.53,1.05
Benin,1983,147.00,312.10,329.80,286.00,207.40,110.20,44.50,7.19,3.50,1.05
Benin,1984,144.80,308.70,326.80,285.00,208.50,111.40,42.80,7.14,3.48,1.05
Benin,1985,142.70,305.30,323.70,284.00,209.50,112.60,41.20,7.10,3.46,1.05
Benin,1986,140.50,301.90,320.70,283.00,210.60,113.80,39.50,7.05,3.44,1.05
Benin,1987,138.30,298.50,317.70,282.00,211.70,115.10,37.80,7.01,3.42,1.05
Benin,1988,136.10,295.20,314.60,281.00,212.80,116.30,36.10,6.96,3.40,1.05
Benin,1989,133.90,291.80,311.60,280.00,213.80,117.50,34.40,6.92,3.37,1.05
Benin,1990,131.70,288.40,308.50,279.00,214.90,118.80,32.70,6.87,3.35,1.05
Benin,1991,129.50,285.00,305.50,278.00,216.00,120.00,31.00,6.83,3.33,1.05
Benin,1992,128.00,281.30,301.80,275.00,210.00,120.00,31.00,6.74,3.29,1.05
Benin,1993,126.50,277.60,298.10,272.00,204.00,120.00,31.00,6.65,3.24,1.05
Benin,1994,125.00,273.90,294.40,269.00,198.00,120.00,31.00,6.56,3.20,1.05
